source,state,city,url,lon,lat,county,fips,url_clean,sourcedomain_id
andalusiastarnews,Alabama,Andalusia,https://www.andalusiastarnews.com/,-86.48329129999998,31.3085039,Covington,1039.0,andalusiastarnews.com,andalusiastarnews-andalusiastarnews.com
atmoreadvance,Alabama,Atmore,https://www.atmoreadvance.com/,-87.4938708,31.0237921,Escambia,1053.0,atmoreadvance.com,atmoreadvance-atmoreadvance.com
thebrewtonstandard,Alabama,Brewton,http://www.brewtonstandard.com/,-87.0721918,31.1051779,Escambia,1053.0,brewtonstandard.com,thebrewtonstandard-brewtonstandard.com
clantonadvertiser,Alabama,Clanton,https://www.clantonadvertiser.com/,-86.6294262,32.8387371,Chilton,1021.0,clantonadvertiser.com,clantonadvertiser-clantonadvertiser.com
thevalleytimesnews,Alabama,Lanett,https://www.valleytimes-news.com/,-85.19049709999999,32.8687391,Chambers,1017.0,valleytimes-news.com,thevalleytimesnews-valleytimes-news.com
alaskajournalofcommerce,Alaska,Anchorage,http://www.alaskajournal.com/,-149.90027780000003,61.2180556,Anchorage,2020.0,alaskajournal.com,alaskajournalofcommerce-alaskajournal.com
arizonacapitoltimes,Arizona,Phoenix,https://azcapitoltimes.com/,-112.0740373,33.4483771,Maricopa,4013.0,azcapitoltimes.com,arizonacapitoltimes-azcapitoltimes.com
arkansastimes,Arkansas,Little Rock,https://arktimes.com/,-92.2895948,34.7464809,Pulaski,5119.0,arktimes.com,arkansastimes-arktimes.com
fayettevillefreeweekly,Arkansas,Fayetteville,http://www.freeweekly.com/,-94.1718542,36.082156,Washington,5143.0,freeweekly.com,fayettevillefreeweekly-freeweekly.com
alamedatimesstar,California,Alameda,https://www.eastbaytimes.com/location/oakland/,-122.2821855,37.7798721,Alameda,6001.0,eastbaytimes.com,alamedatimesstar-eastbaytimes.com
thebakersfieldcalifornian,California,Bakersfield,https://www.bakersfield.com/,-119.0187125,35.3732921,Kern,6029.0,bakersfield.com,thebakersfieldcalifornian-bakersfield.com
campbellreporter,California,Campbell,https://www.mercurynews.com/location/campbell/,-121.9499568,37.2871651,Santa Clara,6085.0,mercurynews.com,campbellreporter-mercurynews.com
cupertinocourier,California,Cupertino,https://www.mercurynews.com/location/cupertino/,-122.0321823,37.3229978,Santa Clara,6085.0,mercurynews.com,cupertinocourier-mercurynews.com
dailybreeze,California,Torrance,https://www.dailybreeze.com/,-118.3406288,33.83584920000001,Los Angeles,6037.0,dailybreeze.com,dailybreeze-dailybreeze.com
thedailycalifornian,California,Berkeley,https://www.dailycal.org/,-122.273042,37.87152260000001,Alameda,6001.0,dailycal.org,thedailycalifornian-dailycal.org
dailydemocrat,California,Woodland,https://www.dailydemocrat.com/,-121.7732971,38.6785157,Yolo,6113.0,dailydemocrat.com,dailydemocrat-dailydemocrat.com
dailynews,California,Woodland Hills,https://www.dailynews.com/,-118.6089752,34.165357,Los Angeles,6037.0,dailynews.com,dailynews-dailynews.com
dailyvariety,California,Los Angeles,http://www.variety.com/,-118.24368490000002,34.0522342,Los Angeles,6037.0,variety.com,dailyvariety-variety.com
thedavisenterprise,California,Davis,https://www.davisenterprise.com/,-121.7405167,38.5449065,Yolo,6113.0,davisenterprise.com,thedavisenterprise-davisenterprise.com
elobservador,California,San Francisco,https://el-observador.com/,-122.4194155,37.7749295,San Francisco,6075.0,el-observador.com,elobservador-el-observador.com
theenterpriserecord,California,Chico,https://www.chicoer.com/,-121.8374777,39.7284944,Butte,6007.0,chicoer.com,theenterpriserecord-chicoer.com
fortbraggadvocatenews,California,Fort Bragg,https://www.advocate-news.com/,-123.8052935,39.445723,Mendocino,6045.0,advocate-news.com,fortbraggadvocatenews-advocate-news.com
inlandvalleydailybulletin,California,Ontario,https://www.dailybulletin.com/,-117.6508876,34.0633443,San Bernardino,6071.0,dailybulletin.com,inlandvalleydailybulletin-dailybulletin.com
theaspentimes,Colorado,Aspen,https://www.aspentimes.com/,-106.8175387,39.19109829999999,Pitkin,8097.0,aspentimes.com,theaspentimes-aspentimes.com
aurorasentinel,Colorado,Aurora,https://www.sentinelcolorado.com/,-104.8319195,39.7294319,Arapahoe,8005.0,sentinelcolorado.com,aurorasentinel-sentinelcolorado.com
boulderweekly,Colorado,Boulder,https://www.boulderweekly.com/,-105.2705456,40.0149856,Boulder,8013.0,boulderweekly.com,boulderweekly-boulderweekly.com
broomfieldenterprise,Colorado,Broomfield,https://www.broomfieldenterprise.com/,-105.0866504,39.9205411,Broomfield,8014.0,broomfieldenterprise.com,broomfieldenterprise-broomfieldenterprise.com
csbusinessjournal,Colorado,Colorado Springs,https://www.csbj.com/,-104.8213634,38.8338816,El Paso,8041.0,csbj.com,csbusinessjournal-csbj.com
