Source-domain,synd_articles,total_articles,percent_synd
theseattletimes-seattletimes.com,5930,8663,68.4520374004386
thedailyreporter-dailyreporter.com,482,1227,39.2828035859821
thelowellsun-lowellsun.com,1431,4084,35.0391772771792
recordherald-recordherald.com,511,1664,30.7091346153846
smithvillereview-smithvillereview.com,208,687,30.2765647743814
rapidcityjournal-rapidcityjournal.com,1414,4863,29.0767016245116
wilmingtonnewsjournal-wnewsj.com,573,2362,24.2591024555461
dailycourier-dailycourier.com,465,1941,23.9567233384853
thetribunechronicle-tribtoday.com,743,3109,23.8983596011579
hobbsnewssun-hobbsnews.com,70,327,21.4067278287462
southernstandard-southernstandard.com,281,1484,18.9353099730458
leadertimes-leadertimes.com,346,1963,17.6260825267448
mindenpressherald-press-herald.com,143,851,16.8037602820212
theirontontribune-irontontribune.com,281,1904,14.7584033613445
dailyleader-dailyleader.com,175,1275,13.7254901960784
saintpaulpioneerpress-twincities.com,557,4096,13.5986328125
salisburypost-salisburypost.com,327,2537,12.8892392589673
austindailyherald-austindailyherald.com,274,2302,11.9026933101651
northwestasianweekly/theseattlechinesepost-nwasianweekly.com,65,556,11.6906474820144
thefultoncountynews-fultoncountynews.com,39,340,11.4705882352941
themitchelldailyrepublic-mitchellrepublic.com,376,3392,11.0849056603774
valleymorningstar-valleymorningstar.com,306,2923,10.4686965446459
bostonherald-bostonherald.com,1056,10425,10.1294964028777
sanmarcosdailyrecord-sanmarcosrecord.com,169,1760,9.60227272727273
waterburyrepublicanamerican-rep-am.com,930,9957,9.34016269960832
thecolumbian-columbian.com,660,7407,8.91049007695423
thejamestownsun-jamestownsun.com,258,3643,7.08207521273676
thelaurinburgexchange-laurinburgexchange.com,139,1986,6.99899295065458
duluthnewstribune-duluthnewstribune.com,246,3919,6.27711150803777
dailydemocrat-dailydemocrat.com,208,3354,6.2015503875969
vicksburgpost-vicksburgpost.com,132,2137,6.17688348151614
providencebusinessnews-pbn.com,139,2385,5.82809224318658
westcentraltribune-wctrib.com,224,3890,5.75835475578406
thebrainerddailydispatch-brainerddispatch.com,209,4038,5.17582961862308
grandforksherald-grandforksherald.com,184,3677,5.00407941256459
tauntondailygazette-tauntongazette.com,122,2537,4.80882932597556
troymessenger-troymessenger.com,62,1356,4.57227138643068
thegaffneyledger-gaffneyledger.com,56,1280,4.375
dailyguide-therolladailynews.com,144,3353,4.29466149716672
rolladailynews-therolladailynews.com,144,3353,4.29466149716672
thecarthagepress-neoshodailynews.com,66,1570,4.20382165605096
neoshodailynews-neoshodailynews.com,66,1570,4.20382165605096
thenatchezdemocrat-natchezdemocrat.com,94,2345,4.00852878464819
theforum-inforum.com,130,3434,3.78567268491555
theheraldnews-heraldnews.com,118,3364,3.5077288941736
thetimesgazette-timesgazette.com,47,1499,3.13542361574383
contracostatimes-eastbaytimes.com,130,4338,2.99677270631627
themonitor-themonitor.com,95,3287,2.89017341040462
theenterpriserecord-chicoer.com,83,4029,2.06006453214197
dailyreviewatlas-reviewatlas.com,26,1395,1.86379928315412
urbanadailycitizen-urbanacitizen.com,14,930,1.50537634408602
devilslakedailyjournal-devilslakejournal.com,16,1088,1.47058823529412
dailybreeze-dailybreeze.com,60,4149,1.44613159797542
dailynews-dailynews.com,59,4189,1.40845070422535
inlandvalleydailybulletin-dailybulletin.com,59,4247,1.38921591711797
thesidneydailynews-sidneydailynews.com,31,2460,1.26016260162602
pekindailytimes-pekintimes.com,22,1816,1.21145374449339
redbluffdailynews-redbluffdailynews.com,41,3483,1.17714613838645
boonvilledailynews-boonvilledailynews.com,18,1659,1.08499095840868
moberlymonitorindex-moberlymonitor.com,18,1685,1.06824925816024
kirksvilledailyexpress&amp;news-kirksvilledailyexpress.com,15,1472,1.01902173913043
greeleytribune-greeleytribune.com,37,3759,0.984304336259643
wellsvilledailyreporter-wellsvilledaily.com,18,1907,0.943890928159413
repository-cantonrep.com,31,3307,0.937405503477472
journalstar-pjstar.com,31,3374,0.918790752815649
thejournalstandard-journalstandard.com,21,2329,0.90167453842851
constitutiontribune-chillicothenews.com,14,1591,0.87994971715902
marshalltowntimesrepublican-timesrepublican.com,19,2303,0.825010855405992
theleader-the-leader.com,13,1597,0.814026299311208
theeveningtribune-eveningtribune.com,17,2205,0.770975056689342
thestatejournalregister-sj-r.com,22,2870,0.766550522648084
columbusdispatch-dispatch.com,27,3673,0.735093928668663
thetimesreporter-timesreporter.com,17,2405,0.706860706860707
peninsuladailynews-peninsuladailynews.com,16,2292,0.698080279232112
rockfordregisterstar-rrstar.com,21,3247,0.646750846935633
dailyglobe-dglobe.com,20,3191,0.626762770291445
wadenapioneerjournal-wadenapj.com,14,2439,0.574005740057401
theponcacitynews-poncacitynews.com,2,352,0.568181818181818
southwashingtoncountybulletin-rivertowns.net,17,2998,0.56704469646431
thebakersfieldcalifornian-bakersfield.com,21,3892,0.539568345323741
republicaneagle-rivertowns.net,16,2969,0.538901987201078
stargazette-rivertowns.net,16,2991,0.534938147776663
themorningsun-morningsun.net,14,2626,0.533130236100533
countybulletin-rivertowns.net,15,2959,0.506928016221697
thejournalrecord-journalrecord.com,23,4775,0.481675392670157
detroitlakestribune-dl-online.com,13,2793,0.465449337629789
steamboatpilot-steamboatpilot.com,12,2597,0.462071621101271
nevadaappeal-nevadaappeal.com,14,3161,0.442897817146473
pineriverjournal-pineandlakes.com,14,3234,0.432900432900433
westhawaiitoday-westhawaiitoday.com,24,5941,0.40397239521966
sunjournal-sunjournal.com,16,4258,0.375763269140442
portarthurnews-panews.com,10,2682,0.372856077554064
theaspentimes-aspentimes.com,15,4033,0.371931564592115
dailyherald-dailyherald.com,23,6295,0.365369340746624
lagrangedailynews-lagrangenews.com,6,1646,0.364520048602673
deseretnews-deseret.com,15,4250,0.352941176470588
